curriculum,curid,sylid,subjectCode,category,type,part,weight,completionCriteria,duration,clo,questionType,noQuestion,knowledgeSkill,gradingGuide,note,isSubComponent
BBA_IB_K19D20A,2446,13252,ENM302,Assignment 2,on-going,1,10.0%,>0,On-going,"CLOs 1, 3, 4, 5, 7, 8, 10","Pair-work: • Work in pairs to create and deliver a pitch for a fictional startup or product.• Include business idea, market analysis, financial overview, and a call to action.• Deliver the pitch live or as a recorded presentation.• A 5-minute live or recorded pitch presentation.• A written pitch deck (slides or document).• A short Q&A session with peers acting as investors.• Suggested AI Tools:• Grammarly for polishing written content.• Beautiful.ai for creating pitch decks.• Lumen5 or Synthesia for video presentation enhancement.• LinkedIn Learning for pitch and presentation skills.",1,Knowledge and skills in studied unit(s): All units except unit 7,Students work in pairs,,0
BBA_IB_K19D20A,2446,13252,ENM302,Progress Test 1,on-going,3,15.0%,>0,Reading+Writing: ~45 minutesListening: ~15 minutes,"Reading: CLOs 1, 2, 5, 10Listening: CLOs 1, 2, 3, 9Writing: CLOs1, 3, 6,","Reading: B1+; 1 textTest Spec: 8-10 questions/text: MCQ -4 options; matching; fill-in-blank; short answers, completion, critical thinking; Writing: - A scenario drawn from the reading texts is provided as a context for email writing, candidates write an email of 200–250 words. - Possible contexts: Requesting approval/permission, requesting a meeting, making an inquiry, or requesting feedback.Listening: MC, multi response, matching, completion",Optional,Knowledge and skills in studied unit(s): Units 3&6 (Business Partner B1+ Units 1&2 (Business Partner B2),in classroom using computer,,0
BBA_IB_K19D20A,2446,13252,ENM302,Progress Test 2,on-going,1,15.0%,>0,10 mins/student,"CLOs 1, 3, 4, 5, 7, 8","Speaking: Opinion-based prompts, Problem-solving scenarios or Role-playing",Optional,Knowledge and skills in studied unit(s): all units,,,0
BBA_IB_K19D20A,2446,13252,ENM302,Final exam,Final exam,3,50.0%,4,105 minutes,CLOs 1->9,,,Knowledge and skills in studied unit(s),by Exam Board,"Each part of the final exam must be >0, Final Exam Score >=4/10 & Final Result >=5/10.",0
BBA_IB_K19D20A,2446,13252,ENM302,Listening,Final exam,1,10.0%,>0,25',"CLOs 1, 2, 3, 9",2 recordings: Recording 1 (B1+); Recording 2 (B2)~5 mins/recording8-10 MCQ or matching or fill in blank/each recording,8-10 MCQ or matching or fill in blank/each recording,Knowledge and skills in studied unit(s),"in exam room, using computer or papers",,1
BBA_IB_K19D20A,2446,13252,ENM302,Reading + Writing,Final exam,1,25.0%,>0,80',"CLOs 1,2,5,10","*ReadingTwo texts: -Text 1 - AI generated - B1+ (~400 words)-Text 2 - Authentic source B2 (~400 words)Test Spec: 8-10 questions/text: MCQ -4 options; matching; fill-in-blank; short answers*Writing - Email Writing- Based on a scenario derived from one of the reading texts (preferably the AI generated one), candidates write an email of 200–250 words. - Possible contexts: Requesting approval/permission, requesting a meeting, making an inquiry, or requesting feedback.","*Reading: 8-10 questions/text: MCQ -4 options; matching; fill-in-blank; short answers*Writing: 200–250 words; requesting approval/permission, requesting a meeting, making an inquiry, or requesting feedback.",Knowledge and skills in studied unit(s),"in exam room, using computer or papers","Reading: 12.5%, Writing: 12.5%",1
BBA_IB_K19D20A,2446,13252,ENM302,Speaking,Final exam,1,15.0%,>0,10 mins/student,"CLOs 1, 3, 4, 5, 7, 8",Opinion-based promptsProblem-solving scenarios,1 problem-solving scenario + 2 follow-up questions,Knowledge and skills in studied unit(s),Students are tested individually 1. Students randomly draw a problem-solving scenario to be solved.2. They have 2 minutes to think about the situation or problem and formulate a solution.3. Students then discuss their solution for 3-5 minutes.4. The teacher follows up with 2-3 additional questions related to the given scenario for 2-3 minutesTopics for discussion are the topics covered during the course,,1
BBA_IB_K19D20A,2446,14193,MGT103,Class Participation,on-going,1,10.0%,>0,,"LO1, LO2, LO3, LO4, LO5, LO6, LO7",,-,,"Option 1: While this is a subjective measure, lecturer will try to standardize it as much as possible by tracking your participation in class discussions and activities. To earn the participation point, you must actively and productively engage in group discussion, exercises and homework. Reading in advance is the MUST. Also, arriving late to class causes a distraction and will hurt your participation grade.Option 2 (For Constructivism Approach only): Follow lecturer's proposal",,0
BBA_IB_K19D20A,2446,14193,MGT103,Essay Test,on-going,1,10.0%,>0,Option 1: 60 minutesOption 2 (For Constructivism Approach only): Follow lecturer's proposalOption 2 (For Constructivism Approach only): Follow lecturer's proposal,"LO1, LO2, LO3, LO4, LO5, LO6, LO7",Option 1: Essay questions. Marked by lecturerOption 2 (For Constructivism Approach only): Follow lecturer's proposalOption 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: 2 -3 short essay questionsOption 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: Based on topics of studied unitsOption 2 (For Constructivism Approach only): Follow lecturer's proposal,"Option 1: In class, by instructorInstructor has resposibility to review the test for students after graded.",,0
BBA_IB_K19D20A,2446,14193,MGT103,Group Assignment,on-going,1,20.0%,>0,Option 1: VaryOption 2 (For Constructivism Approach only): Follow lecturer's proposal,"LO1, LO2, LO3, LO4, LO5, LO6, LO7","Option 1: A group of four or five students will choose a company to write on one to two management issues or challenges faced by that company. From the theories acquired from this course, give your group’s recommendations to this company for solving those issues or challenges. The input for the assignment must be based on direct interviews of senior managers of that company.Option 2 (For Constructivism Approach only): Follow lecturer's proposal",Option 1: Maximum length of the group assignment should be 10 pages excluding appendicesOption 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: Based on topics of studied unitsOption 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: The assignment includes two part: written report and oral presentationAll assignments (report and slides) should be typed and double-spaced with 11-point font. A deduction of 10% of the assignment mark will be applied for each day of late submissionRecommended: 30% for presentation and 70% for the written report.Option 2 (For Constructivism Approach only): Follow lecturer's proposal,,0
BBA_IB_K19D20A,2446,14193,MGT103,Individual Assignment,on-going,1,15.0%,>0,Option 1: VaryOption 2 (For Constructivism Approach only): Follow lecturer's proposal,"LO1, LO2, LO3, LO4, LO5, LO6, LO7","Option 1: Student will be asked to complete a written individual assignment. This will give student opportunities to show that you can think analytically and critically about real-life management issues, and apply management theories and concept to analyse those issues. Details on the format, length and other expectations will be provided by lecturer in classFor example: Identify a person in the real life you feel is a great manager. Write a short essay (1,000 words) on why you feel that person is a great manager and what principles he/she applies to manage others. Give your own evaluation of this person as a manager through direct interview, observation and summary of this manager's contribution to the success of the organization.Option 2 (For Constructivism Approach only): Follow lecturer's proposal",Option 1: Maximum length of the individual assignment should be 5 pages excluding appendicesOption 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: Based on topics of studied unitsOption 2 (For Constructivism Approach only): Follow lecturer's proposal,"Option 1: All assignments should be typed and double-spaced with 11-point font, and must be submitted via LMS. A deduction of 10% of the assignment mark will be applied for each day of late submission. Option 2 (For Constructivism Approach only): Follow lecturer's proposal",,0
BBA_IB_K19D20A,2446,14193,MGT103,Quiz,on-going,3,15.0%,>0,Option 1: 30 minutes eachOption 2 (For Constructivism Approach only): Follow lecturer's proposal,"LO1, LO2, LO3, LO4",Option 1: Multiple choicesMarked by Computer or a suitable formatOption 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: 25 MC questions each quiz.Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: Quizzes and exercises will test for knowledge of subjects in the chapters assigned for that day.Option 2 (For Constructivism Approach only): Follow lecturer's proposal,"Option 1: In class, by instructor. These quizzes and exercises will be given at various times during class (beginning, middle or end-another good reason to arrive on time). Total number of quizzes: 3. Option 2 (For Constructivism Approach only): Follow lecturer's proposal",,0
BBA_IB_K19D20A,2446,14193,MGT103,Final Exam,Final exam,1,30.0%,4,60 minutes,"LO1, LO2, LO3, LO4",Multiple choices. Marked by Computer,50 MC questions,,"By exam board,using computer. The exam questions must be updated or different at least 70% to the previous ones.",,0
BBA_IB_K19D20A,2446,13458,MKT101,Class participation and preparation,on-going,1,10.0%,>0,,,,,,"Participation grade will be given based on students' preparation, quantity as well as quality of participation in classroom; quality of participation is demonstrated through asking relevant questions, making statements that add to and facilitate class discussion, and builds upon others’ comments.",,0
BBA_IB_K19D20A,2446,13458,MKT101,Essay Test,on-going,1,10.0%,>0,OP1: 40' OP2 (For Constructivism Approach only): Follow lecturer's proposal,"LO3, LO5, LO6, LO7",OP1: Essay questions OP2 (For Constructivism Approach only): Follow lecturer's proposal,Follow lecturer's proposal,"The question will cover the lectures, class discussions, activities, exercises, and textbook.",Class room,,0
BBA_IB_K19D20A,2446,13458,MKT101,Group assignment,on-going,1,20.0%,>0,OP2 (For Constructivism Approach only): Follow lecturer's proposal,"LO1, LO2, LO3, LO4, LO5, LO6, LO7, LO8","OP1: A group of four or five students will choose a real company to write on selected marketing issues in that company. Based on the theories acquired from this course, give your group’s recommendations to improve the company's marketing effectiveness. The input for the assignment must be based on your observation, direct interviews with managers and staff of that company, and the company's documents. OP2 (For Constructivism Approach only): Follow lecturer's proposal",OP1: Maximum length of the group assignment should be 10 pages excluding appendices OP2 (For Constructivism Approach only): Follow lecturer's proposal,"Based on topics of studied units. Students should demonstrate their capability of using various AI tools (lmarena AI, Statista, ChatGPT, Canva,...) for idea generation, document organization, and the practical application of marketing concepts.","For option 1: Evaluation will be based on the presentation, the written report, and individual performance (e.g., through interviews or individual questions), in order to accurately reflect students’ actual competencies. All options: AI skill evaluation (20% of the assignment mark) is based on students’ originality, their ability to critically evaluate and refine their work, as well as their capacity to assess the strengths and limitations of AI-generated outputs and to identify ethical risks such as plagiarism and bias.","All options: Students should keep all prompts and output, and acknowledge and cite AI created content. A deduction of 10% of the assignment mark will be applied for each day of late submission.",0
BBA_IB_K19D20A,2446,13458,MKT101,Individual Writing Assignment,on-going,1,10.0%,>0,OP2 (For Constructivism Approach only): Follow lecturer's proposal,"LO1, LO2, LO3, LO4, LO5, LO6, LO7","OP1: Individual students will choose one of three topics relating to marketing to write about. By using references from the textbook and other sources, students will outline the key aspects of this topic, identify a real-world example, and discuss how marketing principles can be applied to produce a positive outcome. OP2 (For Constructivism Approach only): Follow lecturer's proposal",OP1: Maximum length of the individual assignment should be 5 pages excluding appendices OP2 (For Constructivism Approach only): Follow lecturer's proposal,Based on topics of studied units,Individual assignment submitted in class,"All assignments should be typed and double-spaced with 11-point font, and must be submitted in both soft and hard copy. A deduction of 10% of the assignment mark will be applied for each day of late submission",0
BBA_IB_K19D20A,2446,13458,MKT101,Quizzes,on-going,4,20.0%,>0,OP1: 20' each OP2 (For Constructivism Approach only): Follow lecturer's proposal,"LO1, LO2, LO3, LO4, LO5","OP1: Multiple choice questions, Case study exercises OP2: Questions or Activities",OP1: ~20 questions OP2 (For Constructivism Approach only): Follow lecturer's proposal,Quizzes will test for knowledge of subjects in the chapters which have been taught.,Class room,"These quizzes will be given at various times during class (beginning, middle or end). Total number of quizzes: 4. Quizzes can contain Multiple Choice questions.",0
BBA_IB_K19D20A,2446,13458,MKT101,Final exam,Final exam,1,30.0%,4,60',"LO1, LO2, LO3, LO4, LO5, LO6, LO7","Multiple choice, apr. 50 questions. Other types of questions may be included.",,"The question will cover the lectures, class discussions, activities, exercises, and textbook.",Exam room,Not allow to use any document/information in any form in exam room,0
BBA_IB_K19D20A,2446,13539,VOV124,Final exam,Final exam,1,100.0%,5,1.5 hours,,Test techniques,S? ph?n thi: 03* Lý thuy?t.* K? thu?t chi?n lu?c* Th? l?c chung.,* Lý thuy?t.* K? thu?t chi?n lu?c.* Th? l?c chung.,Ch?n 1 trong 2 cách sau:* Sinh viên b?c tham câu h?i.* Gi?ng viên d?t yêu c?u d? sinh viên th?c hi?n.,"Thành l?p h?i d?ng ch?m thi. Ch? nhi?m BM là ch? t?ch h?i d?ng, phân công các GV vào các v? trí:* Thu ký h?i d?ng: giám sát tu cách d? thi c?a SV và t?ng h?p di?m.* Các t? ch?m thi tuong ?ng v?i 3 ph?n thi.",0
BBA_IB_K19D20A,2446,12594,SSL101c,Theoretical Exam (TE),Final exam,1,100.0%,4,60',"LO1, LO2, LO3, LO4, LO5",Multiple choice,60,The whole course content. Each module of course contributes 3-5 questions.,by exam board,,0
BBA_IB_K19D20A,2446,14030,ACC101,Class Participation,on-going,1,10.0%,>0,,LO6,,,,,"Participation grade will be given based on students' preparation, quantity as well as quality of participation in classroom; quality of participation is demonstrated through asking relevant questions, making statements that add to and facilitate class discussion, and builds upon others’ comments.",0
BBA_IB_K19D20A,2446,14030,ACC101,Group Assignment,on-going,1,30.0%,>0,OP1: Presentation in class and report submission; OP2: (For Constructivism Approach only): Follow lecturer's proposal,"LO2, LO3, LO4, LO6","OP1: Group problem solving: Suggestion: Using knowledge so far to find out the problem in financial management of any company at home or abroad, give explanation and find out the lesson behind ; OP2: (For Constructivism Approach only): Follow lecturer's proposal",OP1: Comprehensive exercise applying a business event; OP2: (For Constructivism Approach only): Follow lecturer's proposal Report of 1500-2000 words,"OP1: Thinking creatively, making decisions, solving problems,Personal qualities: Individual responsibility, self-esteem, sociability, self-management, and integrity. OP2: (For Constructivism Approach only): Follow lecturer's proposal",OP1: Either given by instructor or students are free to choose business casesOP2: (For Constructivism Approach only): Follow lecturer's proposal,,0
BBA_IB_K19D20A,2446,14030,ACC101,Individual Assignment,on-going,1,20.0%,>0,OP1:At home and report submission; OP2: (For Constructivism Approach only): Follow lecturer's proposal,"LO1, LO2, LO6","OP1: Suppose you are starting a new business in merchandise industry. Based on transaction analysis, prepare General Journal for the first month of operating. Produce Income statement and Balance sheet in good form. (All necessary formats provided by Instructor); OP2: (For Constructivism Approach only): Follow lecturer's proposal",OP1: Report of 1000-1500 words. OP2: (For Constructivism Approach only): Follow lecturer's proposal,OP1: Integration of studied knowledge and skillsOP2: (For Constructivism Approach only): Follow lecturer's proposal,OP1: Students are free to create business activitiesOP2: (For Constructivism Approach only): Follow lecturer's proposal,,0
BBA_IB_K19D20A,2446,14030,ACC101,Quizzes,on-going,2,10.0%,>0,OP1: In class (30 minutes); OP2: (For Constructivism Approach only): Follow lecturer's proposal,"LO1, LO2, LO3",OP1: Multiple choice questions or calculation ; OP2: (For Constructivism Approach only): Follow lecturer's proposal,OP1: 15 Multiple choice questions or calculation; OP2: (For Constructivism Approach only): Follow lecturer's proposal,OP1: Integration of studied knowledge and skillsOP2: (For Constructivism Approach only): Follow lecturer's proposal,OP1: As solution OP2: (For Constructivism Approach only): Follow lecturer's proposal,,0
BBA_IB_K19D20A,2446,14030,ACC101,Final exam,Final exam,1,30.0%,4,60 minutes,"LO1, LO2, LO3, LO4, LO5",Multiple choice,Multiple choice of 50 questions from question bank,Comprehensive understanding chapters so far,By Exam board,Not allow to use any document/information in any form in exam room,0
BBA_IB_K19D20A,2446,13599,ECO121,Class Participation,on-going,1,10.0%,>0,,"LO7,LO8",,,,,"Option 1: Participation scores will be given based on students' class attendance, preparation, quantity as well as quality of participation in classroom; quality of participation is demonstrated through asking relevant questions, making statements that add to and facilitate class discussions, and building upon others’ comments. Option 2 (For Constructivism Approach only): Follow lecturer's proposal",0
BBA_IB_K19D20A,2446,13599,ECO121,Group Assignment (01),on-going,1,30.0%,>0,15' for each group presentation and 10' for Q&A,"LO1, LO2, LO3, LO4, LO5, LO6, LO7, LO8","Option 1: Students will be divided into 4-6 groups in the first session. Students could join some in-class activities as members of those groups. Each group will be assigned one topic, or will choose one topic subject to the instructor's approval, which is related to current economic issues in the real world. Students need to apply all comprehensive knowledge of macroeconomics to explain and analyze those issues. Option 2 (For Constructivism Approach only): Follow lecturer's proposal",Option 1: One topic related to real current economic problems for each group Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: This group presentation will test critical thinking and skills of applying microeconomic theory to explain and predict the economic phenomena in the real world.Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: Preparation at home and group presentation in class room Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: The PPT slides and written report of the presentation must be sent to the instructor before deadlines. Each group presentation will take place in appx. 15 minutes. The Q&A session will follow for about 10 minutes.,0
BBA_IB_K19D20A,2446,13599,ECO121,Individual Assignments (02),on-going,2,20.0%,>0,,"LO2, LO3, LO4, LO7, LO8",Option 1: Written homework in forms of computation exercises and open problems. Option 2: Questions or Activities proposed by lecturer,Option 1: not detailledOption 2 (For Constructivism Approach only): Follow lecturer's proposal,"Option 1: Coverage of Individual Assignment 1 is chapters 23, 24, 28, 25, 26 and 29. Coverage of Individual Assignment 2 is chapters 30, 3, 31, 32, 33, and 34. Specific content of each individual assignment is subject to the instructor's decisions. Questions can either be theoretical analysis, computational exercises, or case analysis.Option 2 (For Constructivism Approach only): Follow lecturer's proposal",Option 1: Do at home and due according to deadlines Option 2 (For Constructivism Approach only): Follow lecturer's proposal,"Option 1: In some particular sessions, homework assignments will be given to students. The exercises in these assignments will cover subjects from the session when the previous assignment is handed. Students are required to do individually at home and submit to the instructor according to the deadlines. There are 2 assignments, each of them account for 10% of the student's final score.",0
BBA_IB_K19D20A,2446,13599,ECO121,Quizzes (02),on-going,2,10.0%,>0,15' each,"LO1, LO2",Option 1: Multiple choice questions Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: 15 Questions. Option 2 (For Constructivism Approach only): Follow lecturer's proposal,"Option 1: Quizzes will test for knowledge of subjects in the relevant chapters assigned for quiz days. Coverage of Quiz 1 is chapters 23, 24, 28, and 25. Coverage of Quiz 2 is chapters 26, 29, 30, and 3. Option 2 (For Constructivism Approach only): Follow lecturer's proposal",Option 1: Class room Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: These quizzes are organized in the beginning of some sessions and informed to students in advance. Students have time at home for preparation. Students are not allowed to use books or documents in any form during the quizzes. The content of quizzes will cover all knowledge from the last quiz. The total number of quizzes is 2. Each quiz has 15 questions and accounts for 5% of the final score.,0
BBA_IB_K19D20A,2446,13599,ECO121,Final Exam,Final exam,1,30.0%,4,60',"LO1, LO2, LO3, LO4, LO5, LO6",Multiple choice questions,50 multiple choice questions,,Exam room,,0
BBA_IB_K19D20A,2446,12226,ENM402,Assignment 1,on-going,1,10.0%,>0,150 minutes,"CLO:1, 3, 4, 6, 7",OP1: Individual work- WritingSuggestion: Prepare a market research plan to improve the brand image then write a reportOP2: (For Constructivism Approach only): Follow lecturer's proposal,,Knowledge and skills in studied unit(s): Units 3& 8 (Business Partner B2 and Units 1&2 (Business Partner B2+),Students work in group and prepare a market research plan to improve the brand image,,0
BBA_IB_K19D20A,2446,12226,ENM402,Assignment 2,on-going,1,10.0%,>0,150 minutes,"CLO:1, 3, 4, 6, 7",OP1: Pairwork- Speaking (Role -Play)OP2: (For Constructivism Approach only): Follow lecturer's proposal,,Knowledge and skills in studied unit(s): Units5 6 & 8 (Business Partner B2+),Students work in pair and negotiate secondment Contract,,0
BBA_IB_K19D20A,2446,12226,ENM402,Progress Test 1,on-going,1,15.0%,>0,Reading : ~30 minutesListening: ~15 minutesWriting: 40 -60 minutes,"Reading: CLO 1,2, 4, 8Listening: CLO 1, 2, 4, 8Writing: CLO 1, 3, 4, 5","Reading: MC, Multi response, Matching, Completion, Critical thinkingVocabulary: MC, Multi response, Matching, Completion, Making sentencesWriting:an annual report summary, or a press release, or an email",Optional,Knowledge and skills in studied unit(s): Units 3& 8 (Business Partner B2 and Units 1&2 (Business Partner B2+),in classroom using computer,,0
BBA_IB_K19D20A,2446,12226,ENM402,Progress Test 2,on-going,1,15.0%,>0,105',"CLO:1, 3, 4, 6, 7","Speaking: Opinion-based prompts, Problem-solving scenarios or Role-playing",Optional,Knowledge and skills in studied unit(s): all units,Students work in group of 2-4,,0
BBA_IB_K19D20A,2446,12226,ENM402,Final exam,Final exam,4,50.0%,4,,CLO: 1->7,,,Knowledge and skills in studied unit(s),by Exam Board,,0
BBA_IB_K19D20A,2446,12226,ENM402,Listening,Final exam,1,10.0%,>0,25',"CLO 1, 2, 4, 8",2 recordings: Recording 1 (B2); Recording 2 (B2+)~5 mins/recording8 -10 MCQ or matching or fill in blank/each recording,,Knowledge and skills in studied unit(s),"in exam room, using computer or papers",,1
BBA_IB_K19D20A,2446,12226,ENM402,Reading,Final exam,1,10.0%,>0,"30""","CLO 1,2, 4, 8","Two texts: text 1 - B2+ (~400 words), B2+ (~400 words)8-10 questions/text: MCQ -4 options; matching",8-10 questions/text: MCQ -4 options; matching,Knowledge and skills in studied unit(s),"in exam room, using computer or papers",,1
BBA_IB_K19D20A,2446,12226,ENM402,Speaking,Final exam,1,15.0%,>0,10 mins/student,"CLO 1, 3, 6, 7",Part 1 role-play in pairs (5-7 mins)Part 2: opinion-based prompts or mini problem-solving scenarios individually (3-5 mins),,Knowledge and skills in studied unit(s),Students are tested individually and in pairs; Topics for discussion are the topics covered during the course,,1
BBA_IB_K19D20A,2446,12226,ENM402,Writing,Final exam,1,15.0%,>0,40',"CLO 1, 3, 4, 5",Write a proposal email of about 250 words,200-400 words,Based on topics of studied units,"in exam room, using computer or papers",,1
BBA_IB_K19D20A,2446,14195,OBE102c,Final Exam,Final exam,1,100.0%,4,60 mins,,Multiple choicesMarked by Computer,50,All studied courses. Each module of course contributes 3-4 questions.,by Exam Board,,0
